,array_size,ShellSort_real_time,ShellSort_user_time,ShellSort_sys_time,ShellSort_maximum_resident_set_size,ShellSort_page_reclaims,ShellSort_voluntary_context_switches,ShellSort_involuntary_context_switches,ShellSort_instructions_retired,ShellSort_cycles_elapsed,ShellSort_peak_memory_footprint
73,740000.0,0.91,0.47,0.0,3743744.0,1034.0,2.0,1290.0,3373406585.0,1781968886.0,3325952.0
74,750000.0,0.92,0.48,0.0,3776512.0,1043.0,1.0,502.0,3450561795.0,1797455168.0,3358720.0
75,760000.0,0.96,0.5,0.0,3825664.0,1057.0,1.0,1092.0,3609102021.0,1901608685.0,3407872.0
76,770000.0,0.95,0.49,0.0,3866624.0,1064.0,1.0,242.0,3494587397.0,1834567530.0,3448832.0
77,780000.0,0.94,0.51,0.0,3903488.0,1075.0,1.0,249.0,3685640850.0,1896691872.0,3485696.0
78,790000.0,0.95,0.53,0.0,3944448.0,1083.0,2.0,265.0,3874279083.0,1984279644.0,3526656.0
79,800000.0,0.96,0.52,0.0,3985408.0,1093.0,1.0,180.0,3760482462.0,1938133153.0,3567616.0
80,810000.0,0.97,0.52,0.0,4026368.0,1103.0,1.0,335.0,3815073420.0,1967563765.0,3608576.0
81,820000.0,1.0,0.55,0.0,4063232.0,1112.0,1.0,381.0,4094561685.0,2062436304.0,3645440.0
82,830000.0,1.01,0.53,0.0,4128768.0,1129.0,1.0,1193.0,3793517156.0,1988666286.0,3710976.0
83,840000.0,1.06,0.55,0.0,4145152.0,1135.0,1.0,1580.0,3957324165.0,2082113664.0,3727360.0
84,850000.0,1.03,0.55,0.0,4186112.0,1142.0,1.0,487.0,3989761268.0,2056083954.0,3768320.0
85,860000.0,1.06,0.56,0.0,4214784.0,1149.0,1.0,747.0,4026108914.0,2108454242.0,3796992.0
86,870000.0,1.04,0.55,0.0,4255744.0,1164.0,1.0,637.0,4028448535.0,2080341796.0,3837952.0
87,880000.0,1.05,0.57,0.0,4296704.0,1169.0,1.0,262.0,4129790386.0,2134649449.0,3878912.0
88,890000.0,1.06,0.57,0.0,4345856.0,1181.0,1.0,221.0,4206215122.0,2133371715.0,3928064.0
89,900000.0,1.09,0.59,0.0,4382720.0,1193.0,1.0,1580.0,4149789355.0,2210908614.0,3964928.0
90,910000.0,1.12,0.6,0.0,4456448.0,1208.0,2.0,1131.0,4285248825.0,2244630482.0,4038656.0
91,920000.0,1.16,0.63,0.0,4472832.0,1214.0,1.0,916.0,4599578266.0,2383725451.0,4055040.0
92,930000.0,1.16,0.61,0.01,4505600.0,1220.0,2.0,1826.0,4367621011.0,2312064374.0,4087808.0
93,940000.0,1.19,0.63,0.01,4542464.0,1229.0,2.0,2070.0,4367793007.0,2384888954.0,4124672.0
94,950000.0,1.18,0.63,0.0,4575232.0,1240.0,2.0,695.0,4510419469.0,2366511968.0,4157440.0
95,960000.0,1.2,0.66,0.0,4624384.0,1250.0,1.0,1174.0,4736928304.0,2467034497.0,4206592.0
96,970000.0,1.19,0.64,0.0,4665344.0,1259.0,2.0,1113.0,4615462396.0,2396582421.0,4247552.0
97,980000.0,1.23,0.68,0.0,4706304.0,1269.0,1.0,1173.0,4629083435.0,2529087825.0,4288512.0
98,990000.0,1.22,0.65,0.0,4743168.0,1278.0,2.0,1074.0,4675342828.0,2458076323.0,4325376.0
